Questions,Retrieved Tag,Retrieved Name,Retrieved Index
What's the total quantity of hemnes drawers?,hemnes drawer,hemnes drawer_1,"['hemnes drawer', 'hemnes drawer_1']"
Can you provide the count of hemnes drawers?,hemnes drawer,hemnes drawer_1,"['hemnes drawer', 'hemnes drawer_1']"
Do you know how many hemnes drawers exist?,hemnes drawer,hemnes drawer_1,"['hemnes drawer', 'hemnes drawer_1']"
What's the number of hemnes drawers present?,hemnes drawer,hemnes drawer_1,"['hemnes drawer', 'hemnes drawer_1']"
How many hemnes drawers are there?,hemnes drawer,hemnes drawer_2,"['hemnes drawer', 'hemnes drawer_2']"
Could you count the number of hemnes drawers?,hemnes drawer,hemnes drawer_2,"['hemnes drawer', 'hemnes drawer_2']"
What's the total quantity of hemnes drawers?,hemnes drawer,hemnes drawer_2,"['hemnes drawer', 'hemnes drawer_2']"
Can you provide the count of hemnes drawers?,hemnes drawer,hemnes drawer_2,"['hemnes drawer', 'hemnes drawer_2']"
Do you know how many hemnes drawers exist?,hemnes drawer,hemnes drawer_2,"['hemnes drawer', 'hemnes drawer_2']"
What's the number of hemnes drawers present?,hemnes drawer,hemnes drawer_2,"['hemnes drawer', 'hemnes drawer_2']"
How many hemnes shelfs are there?,hemnes shelf,hemnes shelf_1,"['hemnes shelf', 'hemnes shelf_1']"
Could you count the number of hemnes shelfs?,hemnes shelf,hemnes shelf_1,"['hemnes shelf', 'hemnes shelf_1']"
What's the total quantity of hemnes shelfs?,hemnes shelf,hemnes shelf_1,"['hemnes shelf', 'hemnes shelf_1']"
Can you provide the count of hemnes shelfs?,hemnes shelf,hemnes shelf_1,"['hemnes shelf', 'hemnes shelf_1']"
Do you know how many hemnes shelfs exist?,hemnes shelf,hemnes shelf_1,"['hemnes shelf', 'hemnes shelf_1']"
What's the number of hemnes shelfs present?,hemnes shelf,hemnes shelf_1,"['hemnes shelf', 'hemnes shelf_1']"
How many ikea superfronts are there?,ikea superfront,ikea superfront_1,"['ikea superfront', 'ikea superfront_1']"
Could you count the number of ikea superfronts?,ikea superfront,ikea superfront_1,"['ikea superfront', 'ikea superfront_1']"
What's the total quantity of ikea superfronts?,ikea superfront,ikea superfront_1,"['ikea superfront', 'ikea superfront_1']"
Can you provide the count of ikea superfronts?,ikea superfront,ikea superfront_1,"['ikea superfront', 'ikea superfront_1']"
Do you know how many ikea superfronts exist?,ikea superfront,ikea superfront_1,"['ikea superfront', 'ikea superfront_1']"
What's the number of ikea superfronts present?,ikea superfront,ikea superfront_1,"['ikea superfront', 'ikea superfront_1']"
How many ikea superfront mirrors are there?,ikea superfront mirror,ikea superfront mirror_1,"['ikea superfront mirror', 'ikea superfront mirror_1']"
Could you count the number of ikea superfront mirrors?,ikea superfront mirror,ikea superfront mirror_1,"['ikea superfront mirror', 'ikea superfront mirror_1']"
What's the total quantity of ikea superfront mirrors?,ikea superfront mirror,ikea superfront mirror_1,"['ikea superfront mirror', 'ikea superfront mirror_1']"
Can you provide the count of ikea superfront mirrors?,ikea superfront mirror,ikea superfront mirror_1,"['ikea superfront mirror', 'ikea superfront mirror_1']"
Do you know how many ikea superfront mirrors exist?,ikea superfront mirror,ikea superfront mirror_1,"['ikea superfront mirror', 'ikea superfront mirror_1']"
What's the number of ikea superfront mirrors present?,ikea superfront mirror,ikea superfront mirror_1,"['ikea superfront mirror', 'ikea superfront mirror_1']"
How many kitchens are there?,kitchen,kitchen_1,"['kitchen', 'kitchen_1']"
Could you count the number of kitchens?,kitchen,kitchen_1,"['kitchen', 'kitchen_1']"
What's the total quantity of kitchens?,kitchen,kitchen_1,"['kitchen', 'kitchen_1']"
Can you provide the count of kitchens?,kitchen,kitchen_1,"['kitchen', 'kitchen_1']"
Do you know how many kitchens exist?,kitchen,kitchen_1,"['kitchen', 'kitchen_1']"
What's the number of kitchens present?,kitchen,kitchen_1,"['kitchen', 'kitchen_1']"
How many kitchen accessorys are there?,kitchen accessory,kitchen accessory_1,"['kitchen accessory', 'kitchen accessory_1']"
Could you count the number of kitchen accessorys?,kitchen accessory,kitchen accessory_1,"['kitchen accessory', 'kitchen accessory_1']"
What's the total quantity of kitchen accessorys?,kitchen accessory,kitchen accessory_1,"['kitchen accessory', 'kitchen accessory_1']"
Can you provide the count of kitchen accessorys?,kitchen accessory,kitchen accessory_1,"['kitchen accessory', 'kitchen accessory_1']"
Do you know how many kitchen accessorys exist?,kitchen accessory,kitchen accessory_1,"['kitchen accessory', 'kitchen accessory_1']"
What's the number of kitchen accessorys present?,kitchen accessory,kitchen accessory_1,"['kitchen accessory', 'kitchen accessory_1']"
How many kitchen hoods are there?,kitchen hood,kitchen hood_1,"['kitchen hood', 'kitchen hood_1']"
Could you count the number of kitchen hoods?,kitchen hood,kitchen hood_1,"['kitchen hood', 'kitchen hood_1']"
What's the total quantity of kitchen hoods?,kitchen hood,kitchen hood_1,"['kitchen hood', 'kitchen hood_1']"
Can you provide the count of kitchen hoods?,kitchen hood,kitchen hood_1,"['kitchen hood', 'kitchen hood_1']"
Do you know how many kitchen hoods exist?,kitchen hood,kitchen hood_1,"['kitchen hood', 'kitchen hood_1']"
What's the number of kitchen hoods present?,kitchen hood,kitchen hood_1,"['kitchen hood', 'kitchen hood_1']"
How many knods are there?,knod,knod_1,"['knod', 'knod_1']"
Could you count the number of knods?,knod,knod_1,"['knod', 'knod_1']"
What's the total quantity of knods?,knod,knod_1,"['knod', 'knod_1']"
Can you provide the count of knods?,knod,knod_1,"['knod', 'knod_1']"
Do you know how many knods exist?,knod,knod_1,"['knod', 'knod_1']"
What's the number of knods present?,knod,knod_1,"['knod', 'knod_1']"
How many knods are there?,knod,knod_2,"['knod', 'knod_2']"
Could you count the number of knods?,knod,knod_2,"['knod', 'knod_2']"
What's the total quantity of knods?,knod,knod_2,"['knod', 'knod_2']"
Can you provide the count of knods?,knod,knod_2,"['knod', 'knod_2']"
Do you know how many knods exist?,knod,knod_2,"['knod', 'knod_2']"
What's the number of knods present?,knod,knod_2,"['knod', 'knod_2']"
How many low round tables are there?,low round table,low round table_1,"['low round table', 'low round table_1']"
Could you count the number of low round tables?,low round table,low round table_1,"['low round table', 'low round table_1']"
What's the total quantity of low round tables?,low round table,low round table_1,"['low round table', 'low round table_1']"
Can you provide the count of low round tables?,low round table,low round table_1,"['low round table', 'low round table_1']"
Do you know how many low round tables exist?,low round table,low round table_1,"['low round table', 'low round table_1']"
What's the number of low round tables present?,low round table,low round table_1,"['low round table', 'low round table_1']"
How many macs are there?,mac,mac_1,"['mac', 'mac_1']"
Could you count the number of macs?,mac,mac_1,"['mac', 'mac_1']"
What's the total quantity of macs?,mac,mac_1,"['mac', 'mac_1']"
Can you provide the count of macs?,mac,mac_1,"['mac', 'mac_1']"
Do you know how many macs exist?,mac,mac_1,"['mac', 'mac_1']"
What's the number of macs present?,mac,mac_1,"['mac', 'mac_1']"
How many mac keyboards are there?,mac keyboard,mac keyboard_1,"['mac keyboard', 'mac keyboard_1']"
Could you count the number of mac keyboards?,mac keyboard,mac keyboard_1,"['mac keyboard', 'mac keyboard_1']"
What's the total quantity of mac keyboards?,mac keyboard,mac keyboard_1,"['mac keyboard', 'mac keyboard_1']"
Can you provide the count of mac keyboards?,mac keyboard,mac keyboard_1,"['mac keyboard', 'mac keyboard_1']"
Do you know how many mac keyboards exist?,mac keyboard,mac keyboard_1,"['mac keyboard', 'mac keyboard_1']"
What's the number of mac keyboards present?,mac keyboard,mac keyboard_1,"['mac keyboard', 'mac keyboard_1']"
How many mac mouses are there?,mac mouse,mac mouse_1,"['mac mouse', 'mac mouse_1']"
Could you count the number of mac mouses?,mac mouse,mac mouse_1,"['mac mouse', 'mac mouse_1']"
What's the total quantity of mac mouses?,mac mouse,mac mouse_1,"['mac mouse', 'mac mouse_1']"
Can you provide the count of mac mouses?,mac mouse,mac mouse_1,"['mac mouse', 'mac mouse_1']"
Do you know how many mac mouses exist?,mac mouse,mac mouse_1,"['mac mouse', 'mac mouse_1']"
What's the number of mac mouses present?,mac mouse,mac mouse_1,"['mac mouse', 'mac mouse_1']"
How many mirrors are there?,mirror,mirror_1,"['mirror', 'mirror_1']"
Could you count the number of mirrors?,mirror,mirror_1,"['mirror', 'mirror_1']"
What's the total quantity of mirrors?,mirror,mirror_1,"['mirror', 'mirror_1']"
Can you provide the count of mirrors?,mirror,mirror_1,"['mirror', 'mirror_1']"
Do you know how many mirrors exist?,mirror,mirror_1,"['mirror', 'mirror_1']"
What's the number of mirrors present?,mirror,mirror_1,"['mirror', 'mirror_1']"
How many relax room doors are there?,relax room door,relax room door_1,"['relax room door', 'relax room door_1']"
Could you count the number of relax room doors?,relax room door,relax room door_1,"['relax room door', 'relax room door_1']"
What's the total quantity of relax room doors?,relax room door,relax room door_1,"['relax room door', 'relax room door_1']"
Can you provide the count of relax room doors?,relax room door,relax room door_1,"['relax room door', 'relax room door_1']"
Do you know how many relax room doors exist?,relax room door,relax room door_1,"['relax room door', 'relax room door_1']"
What's the number of relax room doors present?,relax room door,relax room door_1,"['relax room door', 'relax room door_1']"
How many selias are there?,selia,selia_1,"['selia', 'selia_1']"
Could you count the number of selias?,selia,selia_1,"['selia', 'selia_1']"
What's the total quantity of selias?,selia,selia_1,"['selia', 'selia_1']"
Can you provide the count of selias?,selia,selia_1,"['selia', 'selia_1']"
Do you know how many selias exist?,selia,selia_1,"['selia', 'selia_1']"
What's the number of selias present?,selia,selia_1,"['selia', 'selia_1']"
How many selias are there?,selia,selia_2,"['selia', 'selia_2']"
Could you count the number of selias?,selia,selia_2,"['selia', 'selia_2']"
What's the total quantity of selias?,selia,selia_2,"['selia', 'selia_2']"
Can you provide the count of selias?,selia,selia_2,"['selia', 'selia_2']"
Do you know how many selias exist?,selia,selia_2,"['selia', 'selia_2']"
What's the number of selias present?,selia,selia_2,"['selia', 'selia_2']"
How many showers are there?,shower,shower_1,"['shower', 'shower_1']"
Could you count the number of showers?,shower,shower_1,"['shower', 'shower_1']"
What's the total quantity of showers?,shower,shower_1,"['shower', 'shower_1']"
Can you provide the count of showers?,shower,shower_1,"['shower', 'shower_1']"
Do you know how many showers exist?,shower,shower_1,"['shower', 'shower_1']"
What's the number of showers present?,shower,shower_1,"['shower', 'shower_1']"
How many stairs are there?,stair,stair_1,"['stair', 'stair_1']"
Could you count the number of stairs?,stair,stair_1,"['stair', 'stair_1']"
What's the total quantity of stairs?,stair,stair_1,"['stair', 'stair_1']"
Can you provide the count of stairs?,stair,stair_1,"['stair', 'stair_1']"
Do you know how many stairs exist?,stair,stair_1,"['stair', 'stair_1']"
What's the number of stairs present?,stair,stair_1,"['stair', 'stair_1']"
How many toilets are there?,toilet,toilet_1,"['toilet', 'toilet_1']"
Could you count the number of toilets?,toilet,toilet_1,"['toilet', 'toilet_1']"
What's the total quantity of toilets?,toilet,toilet_1,"['toilet', 'toilet_1']"
Can you provide the count of toilets?,toilet,toilet_1,"['toilet', 'toilet_1']"
Do you know how many toilets exist?,toilet,toilet_1,"['toilet', 'toilet_1']"
What's the number of toilets present?,toilet,toilet_1,"['toilet', 'toilet_1']"
How many towels are there?,towel,towel_1,"['towel', 'towel_1']"
Could you count the number of towels?,towel,towel_1,"['towel', 'towel_1']"
What's the total quantity of towels?,towel,towel_1,"['towel', 'towel_1']"
Can you provide the count of towels?,towel,towel_1,"['towel', 'towel_1']"
Do you know how many towels exist?,towel,towel_1,"['towel', 'towel_1']"
What's the number of towels present?,towel,towel_1,"['towel', 'towel_1']"
How many towels are there?,towel,towel_2,"['towel', 'towel_2']"
Could you count the number of towels?,towel,towel_2,"['towel', 'towel_2']"
What's the total quantity of towels?,towel,towel_2,"['towel', 'towel_2']"
Can you provide the count of towels?,towel,towel_2,"['towel', 'towel_2']"
Do you know how many towels exist?,towel,towel_2,"['towel', 'towel_2']"
What's the number of towels present?,towel,towel_2,"['towel', 'towel_2']"
How many towels are there?,towel,towel_3,"['towel', 'towel_3']"
Could you count the number of towels?,towel,towel_3,"['towel', 'towel_3']"
What's the total quantity of towels?,towel,towel_3,"['towel', 'towel_3']"
Can you provide the count of towels?,towel,towel_3,"['towel', 'towel_3']"
Do you know how many towels exist?,towel,towel_3,"['towel', 'towel_3']"
What's the number of towels present?,towel,towel_3,"['towel', 'towel_3']"
How many towels are there?,towel,towel_4,"['towel', 'towel_4']"
Could you count the number of towels?,towel,towel_4,"['towel', 'towel_4']"
What's the total quantity of towels?,towel,towel_4,"['towel', 'towel_4']"
Can you provide the count of towels?,towel,towel_4,"['towel', 'towel_4']"
Do you know how many towels exist?,towel,towel_4,"['towel', 'towel_4']"
What's the number of towels present?,towel,towel_4,"['towel', 'towel_4']"
