Questions,Retrieved Tag,Retrieved Name,Retrieved Index
What kind of material is storehouse_3 made of?,storehouse,storehouse_3,"['storehouse', 'storehouse_3']"
Could you describe the color of storehouse_3?,storehouse,storehouse_3,"['storehouse', 'storehouse_3']"
How far is storehouse_3 from the player?,storehouse,storehouse_3,"['storehouse', 'storehouse_3']"
Which direction is storehouse_3 located relative to the player?,storehouse,storehouse_3,"['storehouse', 'storehouse_3']"
Can you provide the location of straw roof house_1?,straw roof house,straw roof house_1,"['straw roof house', 'straw roof house_1']"
Can straw roof house_1 be interacted with?,straw roof house,straw roof house_1,"['straw roof house', 'straw roof house_1']"
What kind of material is straw roof house_1 made of?,straw roof house,straw roof house_1,"['straw roof house', 'straw roof house_1']"
Could you describe the color of straw roof house_1?,straw roof house,straw roof house_1,"['straw roof house', 'straw roof house_1']"
How far is straw roof house_1 from the player?,straw roof house,straw roof house_1,"['straw roof house', 'straw roof house_1']"
Which direction is straw roof house_1 located relative to the player?,straw roof house,straw roof house_1,"['straw roof house', 'straw roof house_1']"
Can you provide the location of straw roof house_2?,straw roof house,straw roof house_2,"['straw roof house', 'straw roof house_2']"
Can straw roof house_2 be interacted with?,straw roof house,straw roof house_2,"['straw roof house', 'straw roof house_2']"
What kind of material is straw roof house_2 made of?,straw roof house,straw roof house_2,"['straw roof house', 'straw roof house_2']"
Could you describe the color of straw roof house_2?,straw roof house,straw roof house_2,"['straw roof house', 'straw roof house_2']"
How far is straw roof house_2 from the player?,straw roof house,straw roof house_2,"['straw roof house', 'straw roof house_2']"
Which direction is straw roof house_2 located relative to the player?,straw roof house,straw roof house_2,"['straw roof house', 'straw roof house_2']"
Can you provide the location of straw roof house_3?,straw roof house,straw roof house_3,"['straw roof house', 'straw roof house_3']"
Can straw roof house_3 be interacted with?,straw roof house,straw roof house_3,"['straw roof house', 'straw roof house_3']"
What kind of material is straw roof house_3 made of?,straw roof house,straw roof house_3,"['straw roof house', 'straw roof house_3']"
Could you describe the color of straw roof house_3?,straw roof house,straw roof house_3,"['straw roof house', 'straw roof house_3']"
How far is straw roof house_3 from the player?,straw roof house,straw roof house_3,"['straw roof house', 'straw roof house_3']"
Which direction is straw roof house_3 located relative to the player?,straw roof house,straw roof house_3,"['straw roof house', 'straw roof house_3']"
