Questions,Hard Negative Retrieved Index
Can you provide the location of paper tray_3?,"['paper tray', 'paper tray_4']"
Can you provide the location of paper tray_3?,"['paper tray', 'paper tray_5']"
Can paper tray_3 be interacted with?,"['paper tray', 'paper tray_1']"
Can paper tray_3 be interacted with?,"['paper tray', 'paper tray_2']"
Can paper tray_3 be interacted with?,"['paper tray', 'paper tray_4']"
Can paper tray_3 be interacted with?,"['paper tray', 'paper tray_5']"
What kind of material is paper tray_3 made of?,"['paper tray', 'paper tray_1']"
What kind of material is paper tray_3 made of?,"['paper tray', 'paper tray_2']"
What kind of material is paper tray_3 made of?,"['paper tray', 'paper tray_4']"
What kind of material is paper tray_3 made of?,"['paper tray', 'paper tray_5']"
Could you describe the color of paper tray_3?,"['paper tray', 'paper tray_1']"
Could you describe the color of paper tray_3?,"['paper tray', 'paper tray_2']"
Could you describe the color of paper tray_3?,"['paper tray', 'paper tray_4']"
Could you describe the color of paper tray_3?,"['paper tray', 'paper tray_5']"
How far is paper tray_3 from the player?,"['paper tray', 'paper tray_1']"
How far is paper tray_3 from the player?,"['paper tray', 'paper tray_2']"
How far is paper tray_3 from the player?,"['paper tray', 'paper tray_4']"
How far is paper tray_3 from the player?,"['paper tray', 'paper tray_5']"
Which direction is paper tray_3 located relative to the player?,"['paper tray', 'paper tray_1']"
Which direction is paper tray_3 located relative to the player?,"['paper tray', 'paper tray_2']"
Which direction is paper tray_3 located relative to the player?,"['paper tray', 'paper tray_4']"
Which direction is paper tray_3 located relative to the player?,"['paper tray', 'paper tray_5']"
Can you provide the location of paper tray_4?,"['paper tray', 'paper tray_1']"
Can you provide the location of paper tray_4?,"['paper tray', 'paper tray_2']"
Can you provide the location of paper tray_4?,"['paper tray', 'paper tray_3']"
Can you provide the location of paper tray_4?,"['paper tray', 'paper tray_5']"
Can paper tray_4 be interacted with?,"['paper tray', 'paper tray_1']"
Can paper tray_4 be interacted with?,"['paper tray', 'paper tray_2']"
Can paper tray_4 be interacted with?,"['paper tray', 'paper tray_3']"
Can paper tray_4 be interacted with?,"['paper tray', 'paper tray_5']"
What kind of material is paper tray_4 made of?,"['paper tray', 'paper tray_1']"
What kind of material is paper tray_4 made of?,"['paper tray', 'paper tray_2']"
What kind of material is paper tray_4 made of?,"['paper tray', 'paper tray_3']"
What kind of material is paper tray_4 made of?,"['paper tray', 'paper tray_5']"
Could you describe the color of paper tray_4?,"['paper tray', 'paper tray_1']"
Could you describe the color of paper tray_4?,"['paper tray', 'paper tray_2']"
Could you describe the color of paper tray_4?,"['paper tray', 'paper tray_3']"
Could you describe the color of paper tray_4?,"['paper tray', 'paper tray_5']"
How far is paper tray_4 from the player?,"['paper tray', 'paper tray_1']"
How far is paper tray_4 from the player?,"['paper tray', 'paper tray_2']"
How far is paper tray_4 from the player?,"['paper tray', 'paper tray_3']"
How far is paper tray_4 from the player?,"['paper tray', 'paper tray_5']"
Which direction is paper tray_4 located relative to the player?,"['paper tray', 'paper tray_1']"
Which direction is paper tray_4 located relative to the player?,"['paper tray', 'paper tray_2']"
Which direction is paper tray_4 located relative to the player?,"['paper tray', 'paper tray_3']"
Which direction is paper tray_4 located relative to the player?,"['paper tray', 'paper tray_5']"
Can you provide the location of paper tray_5?,"['paper tray', 'paper tray_1']"
Can you provide the location of paper tray_5?,"['paper tray', 'paper tray_2']"
Can you provide the location of paper tray_5?,"['paper tray', 'paper tray_3']"
Can you provide the location of paper tray_5?,"['paper tray', 'paper tray_4']"
Can paper tray_5 be interacted with?,"['paper tray', 'paper tray_1']"
Can paper tray_5 be interacted with?,"['paper tray', 'paper tray_2']"
Can paper tray_5 be interacted with?,"['paper tray', 'paper tray_3']"
Can paper tray_5 be interacted with?,"['paper tray', 'paper tray_4']"
What kind of material is paper tray_5 made of?,"['paper tray', 'paper tray_1']"
What kind of material is paper tray_5 made of?,"['paper tray', 'paper tray_2']"
What kind of material is paper tray_5 made of?,"['paper tray', 'paper tray_3']"
What kind of material is paper tray_5 made of?,"['paper tray', 'paper tray_4']"
Could you describe the color of paper tray_5?,"['paper tray', 'paper tray_1']"
Could you describe the color of paper tray_5?,"['paper tray', 'paper tray_2']"
Could you describe the color of paper tray_5?,"['paper tray', 'paper tray_3']"
Could you describe the color of paper tray_5?,"['paper tray', 'paper tray_4']"
How far is paper tray_5 from the player?,"['paper tray', 'paper tray_1']"
How far is paper tray_5 from the player?,"['paper tray', 'paper tray_2']"
How far is paper tray_5 from the player?,"['paper tray', 'paper tray_3']"
How far is paper tray_5 from the player?,"['paper tray', 'paper tray_4']"
Which direction is paper tray_5 located relative to the player?,"['paper tray', 'paper tray_1']"
Which direction is paper tray_5 located relative to the player?,"['paper tray', 'paper tray_2']"
Which direction is paper tray_5 located relative to the player?,"['paper tray', 'paper tray_3']"
Which direction is paper tray_5 located relative to the player?,"['paper tray', 'paper tray_4']"
Can you provide the location of plant_1?,"['plant', 'plant_2']"
Can you provide the location of plant_1?,"['plant', 'plant_3']"
Can you provide the location of plant_1?,"['plant', 'plant_4']"
Can plant_1 be interacted with?,"['plant', 'plant_2']"
Can plant_1 be interacted with?,"['plant', 'plant_3']"
Can plant_1 be interacted with?,"['plant', 'plant_4']"
What kind of material is plant_1 made of?,"['plant', 'plant_2']"
What kind of material is plant_1 made of?,"['plant', 'plant_3']"
What kind of material is plant_1 made of?,"['plant', 'plant_4']"
Could you describe the color of plant_1?,"['plant', 'plant_2']"
Could you describe the color of plant_1?,"['plant', 'plant_3']"
Could you describe the color of plant_1?,"['plant', 'plant_4']"
How far is plant_1 from the player?,"['plant', 'plant_2']"
How far is plant_1 from the player?,"['plant', 'plant_3']"
How far is plant_1 from the player?,"['plant', 'plant_4']"
Which direction is plant_1 located relative to the player?,"['plant', 'plant_2']"
Which direction is plant_1 located relative to the player?,"['plant', 'plant_3']"
Which direction is plant_1 located relative to the player?,"['plant', 'plant_4']"
Can you provide the location of plant_2?,"['plant', 'plant_1']"
Can you provide the location of plant_2?,"['plant', 'plant_3']"
Can you provide the location of plant_2?,"['plant', 'plant_4']"
Can plant_2 be interacted with?,"['plant', 'plant_1']"
Can plant_2 be interacted with?,"['plant', 'plant_3']"
Can plant_2 be interacted with?,"['plant', 'plant_4']"
What kind of material is plant_2 made of?,"['plant', 'plant_1']"
What kind of material is plant_2 made of?,"['plant', 'plant_3']"
What kind of material is plant_2 made of?,"['plant', 'plant_4']"
Could you describe the color of plant_2?,"['plant', 'plant_1']"
Could you describe the color of plant_2?,"['plant', 'plant_3']"
Could you describe the color of plant_2?,"['plant', 'plant_4']"
How far is plant_2 from the player?,"['plant', 'plant_1']"
How far is plant_2 from the player?,"['plant', 'plant_3']"
How far is plant_2 from the player?,"['plant', 'plant_4']"
Which direction is plant_2 located relative to the player?,"['plant', 'plant_1']"
Which direction is plant_2 located relative to the player?,"['plant', 'plant_3']"
Which direction is plant_2 located relative to the player?,"['plant', 'plant_4']"
Can you provide the location of plant_3?,"['plant', 'plant_1']"
Can you provide the location of plant_3?,"['plant', 'plant_2']"
Can you provide the location of plant_3?,"['plant', 'plant_4']"
Can plant_3 be interacted with?,"['plant', 'plant_1']"
Can plant_3 be interacted with?,"['plant', 'plant_2']"
Can plant_3 be interacted with?,"['plant', 'plant_4']"
What kind of material is plant_3 made of?,"['plant', 'plant_1']"
What kind of material is plant_3 made of?,"['plant', 'plant_2']"
What kind of material is plant_3 made of?,"['plant', 'plant_4']"
Could you describe the color of plant_3?,"['plant', 'plant_1']"
Could you describe the color of plant_3?,"['plant', 'plant_2']"
Could you describe the color of plant_3?,"['plant', 'plant_4']"
How far is plant_3 from the player?,"['plant', 'plant_1']"
How far is plant_3 from the player?,"['plant', 'plant_2']"
How far is plant_3 from the player?,"['plant', 'plant_4']"
Which direction is plant_3 located relative to the player?,"['plant', 'plant_1']"
Which direction is plant_3 located relative to the player?,"['plant', 'plant_2']"
Which direction is plant_3 located relative to the player?,"['plant', 'plant_4']"
Can you provide the location of plant_4?,"['plant', 'plant_1']"
Can you provide the location of plant_4?,"['plant', 'plant_2']"
Can you provide the location of plant_4?,"['plant', 'plant_3']"
Can plant_4 be interacted with?,"['plant', 'plant_1']"
Can plant_4 be interacted with?,"['plant', 'plant_2']"
Can plant_4 be interacted with?,"['plant', 'plant_3']"
What kind of material is plant_4 made of?,"['plant', 'plant_1']"
What kind of material is plant_4 made of?,"['plant', 'plant_2']"
What kind of material is plant_4 made of?,"['plant', 'plant_3']"
Could you describe the color of plant_4?,"['plant', 'plant_1']"
Could you describe the color of plant_4?,"['plant', 'plant_2']"
Could you describe the color of plant_4?,"['plant', 'plant_3']"
How far is plant_4 from the player?,"['plant', 'plant_1']"
How far is plant_4 from the player?,"['plant', 'plant_2']"
How far is plant_4 from the player?,"['plant', 'plant_3']"
Which direction is plant_4 located relative to the player?,"['plant', 'plant_1']"
Which direction is plant_4 located relative to the player?,"['plant', 'plant_2']"
Which direction is plant_4 located relative to the player?,"['plant', 'plant_3']"
Can you provide the location of printer_1?,"['printer', 'printer_2']"
Can printer_1 be interacted with?,"['printer', 'printer_2']"
What kind of material is printer_1 made of?,"['printer', 'printer_2']"
Could you describe the color of printer_1?,"['printer', 'printer_2']"
How far is printer_1 from the player?,"['printer', 'printer_2']"
Which direction is printer_1 located relative to the player?,"['printer', 'printer_2']"
Can you provide the location of printer_2?,"['printer', 'printer_1']"
Can printer_2 be interacted with?,"['printer', 'printer_1']"
What kind of material is printer_2 made of?,"['printer', 'printer_1']"
Could you describe the color of printer_2?,"['printer', 'printer_1']"
How far is printer_2 from the player?,"['printer', 'printer_1']"
Which direction is printer_2 located relative to the player?,"['printer', 'printer_1']"
