Questions,Hard Negative Retrieved Index
Can sidetable_3 be interacted with?,"['sidetable', 'sidetable_2']"
Can sidetable_3 be interacted with?,"['sidetable', 'sidetable_4']"
What kind of material is sidetable_3 made of?,"['sidetable', 'sidetable_1']"
What kind of material is sidetable_3 made of?,"['sidetable', 'sidetable_2']"
What kind of material is sidetable_3 made of?,"['sidetable', 'sidetable_4']"
Could you describe the color of sidetable_3?,"['sidetable', 'sidetable_1']"
Could you describe the color of sidetable_3?,"['sidetable', 'sidetable_2']"
Could you describe the color of sidetable_3?,"['sidetable', 'sidetable_4']"
How far is sidetable_3 from the player?,"['sidetable', 'sidetable_1']"
How far is sidetable_3 from the player?,"['sidetable', 'sidetable_2']"
How far is sidetable_3 from the player?,"['sidetable', 'sidetable_4']"
Which direction is sidetable_3 located relative to the player?,"['sidetable', 'sidetable_1']"
Which direction is sidetable_3 located relative to the player?,"['sidetable', 'sidetable_2']"
Which direction is sidetable_3 located relative to the player?,"['sidetable', 'sidetable_4']"
Can you provide the location of sidetable_4?,"['sidetable', 'sidetable_1']"
Can you provide the location of sidetable_4?,"['sidetable', 'sidetable_2']"
Can you provide the location of sidetable_4?,"['sidetable', 'sidetable_3']"
Can sidetable_4 be interacted with?,"['sidetable', 'sidetable_1']"
Can sidetable_4 be interacted with?,"['sidetable', 'sidetable_2']"
Can sidetable_4 be interacted with?,"['sidetable', 'sidetable_3']"
What kind of material is sidetable_4 made of?,"['sidetable', 'sidetable_1']"
What kind of material is sidetable_4 made of?,"['sidetable', 'sidetable_2']"
What kind of material is sidetable_4 made of?,"['sidetable', 'sidetable_3']"
Could you describe the color of sidetable_4?,"['sidetable', 'sidetable_1']"
Could you describe the color of sidetable_4?,"['sidetable', 'sidetable_2']"
Could you describe the color of sidetable_4?,"['sidetable', 'sidetable_3']"
How far is sidetable_4 from the player?,"['sidetable', 'sidetable_1']"
How far is sidetable_4 from the player?,"['sidetable', 'sidetable_2']"
How far is sidetable_4 from the player?,"['sidetable', 'sidetable_3']"
Which direction is sidetable_4 located relative to the player?,"['sidetable', 'sidetable_1']"
Which direction is sidetable_4 located relative to the player?,"['sidetable', 'sidetable_2']"
Which direction is sidetable_4 located relative to the player?,"['sidetable', 'sidetable_3']"
Can you provide the location of small shelf_1?,"['small shelf', 'small shelf_2']"
Can you provide the location of small shelf_1?,"['small shelf', 'small shelf_3']"
Can you provide the location of small shelf_1?,"['small shelf', 'small shelf_4']"
Can small shelf_1 be interacted with?,"['small shelf', 'small shelf_2']"
Can small shelf_1 be interacted with?,"['small shelf', 'small shelf_3']"
Can small shelf_1 be interacted with?,"['small shelf', 'small shelf_4']"
What kind of material is small shelf_1 made of?,"['small shelf', 'small shelf_2']"
What kind of material is small shelf_1 made of?,"['small shelf', 'small shelf_3']"
What kind of material is small shelf_1 made of?,"['small shelf', 'small shelf_4']"
Could you describe the color of small shelf_1?,"['small shelf', 'small shelf_2']"
Could you describe the color of small shelf_1?,"['small shelf', 'small shelf_3']"
Could you describe the color of small shelf_1?,"['small shelf', 'small shelf_4']"
How far is small shelf_1 from the player?,"['small shelf', 'small shelf_2']"
How far is small shelf_1 from the player?,"['small shelf', 'small shelf_3']"
How far is small shelf_1 from the player?,"['small shelf', 'small shelf_4']"
Which direction is small shelf_1 located relative to the player?,"['small shelf', 'small shelf_2']"
Which direction is small shelf_1 located relative to the player?,"['small shelf', 'small shelf_3']"
Which direction is small shelf_1 located relative to the player?,"['small shelf', 'small shelf_4']"
Can you provide the location of small shelf_2?,"['small shelf', 'small shelf_1']"
Can you provide the location of small shelf_2?,"['small shelf', 'small shelf_3']"
Can you provide the location of small shelf_2?,"['small shelf', 'small shelf_4']"
Can small shelf_2 be interacted with?,"['small shelf', 'small shelf_1']"
Can small shelf_2 be interacted with?,"['small shelf', 'small shelf_3']"
Can small shelf_2 be interacted with?,"['small shelf', 'small shelf_4']"
What kind of material is small shelf_2 made of?,"['small shelf', 'small shelf_1']"
What kind of material is small shelf_2 made of?,"['small shelf', 'small shelf_3']"
What kind of material is small shelf_2 made of?,"['small shelf', 'small shelf_4']"
Could you describe the color of small shelf_2?,"['small shelf', 'small shelf_1']"
Could you describe the color of small shelf_2?,"['small shelf', 'small shelf_3']"
Could you describe the color of small shelf_2?,"['small shelf', 'small shelf_4']"
How far is small shelf_2 from the player?,"['small shelf', 'small shelf_1']"
How far is small shelf_2 from the player?,"['small shelf', 'small shelf_3']"
How far is small shelf_2 from the player?,"['small shelf', 'small shelf_4']"
Which direction is small shelf_2 located relative to the player?,"['small shelf', 'small shelf_1']"
Which direction is small shelf_2 located relative to the player?,"['small shelf', 'small shelf_3']"
Which direction is small shelf_2 located relative to the player?,"['small shelf', 'small shelf_4']"
Can you provide the location of small shelf_3?,"['small shelf', 'small shelf_1']"
Can you provide the location of small shelf_3?,"['small shelf', 'small shelf_2']"
Can you provide the location of small shelf_3?,"['small shelf', 'small shelf_4']"
Can small shelf_3 be interacted with?,"['small shelf', 'small shelf_1']"
Can small shelf_3 be interacted with?,"['small shelf', 'small shelf_2']"
Can small shelf_3 be interacted with?,"['small shelf', 'small shelf_4']"
What kind of material is small shelf_3 made of?,"['small shelf', 'small shelf_1']"
What kind of material is small shelf_3 made of?,"['small shelf', 'small shelf_2']"
What kind of material is small shelf_3 made of?,"['small shelf', 'small shelf_4']"
Could you describe the color of small shelf_3?,"['small shelf', 'small shelf_1']"
Could you describe the color of small shelf_3?,"['small shelf', 'small shelf_2']"
Could you describe the color of small shelf_3?,"['small shelf', 'small shelf_4']"
How far is small shelf_3 from the player?,"['small shelf', 'small shelf_1']"
How far is small shelf_3 from the player?,"['small shelf', 'small shelf_2']"
How far is small shelf_3 from the player?,"['small shelf', 'small shelf_4']"
Which direction is small shelf_3 located relative to the player?,"['small shelf', 'small shelf_1']"
Which direction is small shelf_3 located relative to the player?,"['small shelf', 'small shelf_2']"
Which direction is small shelf_3 located relative to the player?,"['small shelf', 'small shelf_4']"
Can you provide the location of small shelf_4?,"['small shelf', 'small shelf_1']"
Can you provide the location of small shelf_4?,"['small shelf', 'small shelf_2']"
Can you provide the location of small shelf_4?,"['small shelf', 'small shelf_3']"
Can small shelf_4 be interacted with?,"['small shelf', 'small shelf_1']"
Can small shelf_4 be interacted with?,"['small shelf', 'small shelf_2']"
Can small shelf_4 be interacted with?,"['small shelf', 'small shelf_3']"
What kind of material is small shelf_4 made of?,"['small shelf', 'small shelf_1']"
What kind of material is small shelf_4 made of?,"['small shelf', 'small shelf_2']"
What kind of material is small shelf_4 made of?,"['small shelf', 'small shelf_3']"
Could you describe the color of small shelf_4?,"['small shelf', 'small shelf_1']"
Could you describe the color of small shelf_4?,"['small shelf', 'small shelf_2']"
Could you describe the color of small shelf_4?,"['small shelf', 'small shelf_3']"
How far is small shelf_4 from the player?,"['small shelf', 'small shelf_1']"
How far is small shelf_4 from the player?,"['small shelf', 'small shelf_2']"
How far is small shelf_4 from the player?,"['small shelf', 'small shelf_3']"
Which direction is small shelf_4 located relative to the player?,"['small shelf', 'small shelf_1']"
Which direction is small shelf_4 located relative to the player?,"['small shelf', 'small shelf_2']"
Which direction is small shelf_4 located relative to the player?,"['small shelf', 'small shelf_3']"
Can you provide the location of vending machine_1?,"['vending machine', 'vending machine_2']"
Can vending machine_1 be interacted with?,"['vending machine', 'vending machine_2']"
What kind of material is vending machine_1 made of?,"['vending machine', 'vending machine_2']"
Could you describe the color of vending machine_1?,"['vending machine', 'vending machine_2']"
How far is vending machine_1 from the player?,"['vending machine', 'vending machine_2']"
Which direction is vending machine_1 located relative to the player?,"['vending machine', 'vending machine_2']"
Can you provide the location of vending machine_2?,"['vending machine', 'vending machine_1']"
Can vending machine_2 be interacted with?,"['vending machine', 'vending machine_1']"
What kind of material is vending machine_2 made of?,"['vending machine', 'vending machine_1']"
Could you describe the color of vending machine_2?,"['vending machine', 'vending machine_1']"
How far is vending machine_2 from the player?,"['vending machine', 'vending machine_1']"
Which direction is vending machine_2 located relative to the player?,"['vending machine', 'vending machine_1']"
Can you provide the location of water bottle_1?,"['water bottle', 'water bottle_2']"
Can you provide the location of water bottle_1?,"['water bottle', 'water bottle_3']"
Can you provide the location of water bottle_1?,"['water bottle', 'water bottle_4']"
Can water bottle_1 be interacted with?,"['water bottle', 'water bottle_2']"
Can water bottle_1 be interacted with?,"['water bottle', 'water bottle_3']"
Can water bottle_1 be interacted with?,"['water bottle', 'water bottle_4']"
What kind of material is water bottle_1 made of?,"['water bottle', 'water bottle_2']"
What kind of material is water bottle_1 made of?,"['water bottle', 'water bottle_3']"
What kind of material is water bottle_1 made of?,"['water bottle', 'water bottle_4']"
Could you describe the color of water bottle_1?,"['water bottle', 'water bottle_2']"
Could you describe the color of water bottle_1?,"['water bottle', 'water bottle_3']"
Could you describe the color of water bottle_1?,"['water bottle', 'water bottle_4']"
How far is water bottle_1 from the player?,"['water bottle', 'water bottle_2']"
How far is water bottle_1 from the player?,"['water bottle', 'water bottle_3']"
How far is water bottle_1 from the player?,"['water bottle', 'water bottle_4']"
Which direction is water bottle_1 located relative to the player?,"['water bottle', 'water bottle_2']"
Which direction is water bottle_1 located relative to the player?,"['water bottle', 'water bottle_3']"
Which direction is water bottle_1 located relative to the player?,"['water bottle', 'water bottle_4']"
Can you provide the location of water bottle_2?,"['water bottle', 'water bottle_1']"
Can you provide the location of water bottle_2?,"['water bottle', 'water bottle_3']"
Can you provide the location of water bottle_2?,"['water bottle', 'water bottle_4']"
Can water bottle_2 be interacted with?,"['water bottle', 'water bottle_1']"
Can water bottle_2 be interacted with?,"['water bottle', 'water bottle_3']"
Can water bottle_2 be interacted with?,"['water bottle', 'water bottle_4']"
What kind of material is water bottle_2 made of?,"['water bottle', 'water bottle_1']"
What kind of material is water bottle_2 made of?,"['water bottle', 'water bottle_3']"
What kind of material is water bottle_2 made of?,"['water bottle', 'water bottle_4']"
Could you describe the color of water bottle_2?,"['water bottle', 'water bottle_1']"
Could you describe the color of water bottle_2?,"['water bottle', 'water bottle_3']"
Could you describe the color of water bottle_2?,"['water bottle', 'water bottle_4']"
How far is water bottle_2 from the player?,"['water bottle', 'water bottle_1']"
How far is water bottle_2 from the player?,"['water bottle', 'water bottle_3']"
How far is water bottle_2 from the player?,"['water bottle', 'water bottle_4']"
Which direction is water bottle_2 located relative to the player?,"['water bottle', 'water bottle_1']"
Which direction is water bottle_2 located relative to the player?,"['water bottle', 'water bottle_3']"
Which direction is water bottle_2 located relative to the player?,"['water bottle', 'water bottle_4']"
Can you provide the location of water bottle_3?,"['water bottle', 'water bottle_1']"
Can you provide the location of water bottle_3?,"['water bottle', 'water bottle_2']"
Can you provide the location of water bottle_3?,"['water bottle', 'water bottle_4']"
Can water bottle_3 be interacted with?,"['water bottle', 'water bottle_1']"
Can water bottle_3 be interacted with?,"['water bottle', 'water bottle_2']"
Can water bottle_3 be interacted with?,"['water bottle', 'water bottle_4']"
What kind of material is water bottle_3 made of?,"['water bottle', 'water bottle_1']"
What kind of material is water bottle_3 made of?,"['water bottle', 'water bottle_2']"
What kind of material is water bottle_3 made of?,"['water bottle', 'water bottle_4']"
Could you describe the color of water bottle_3?,"['water bottle', 'water bottle_1']"
Could you describe the color of water bottle_3?,"['water bottle', 'water bottle_2']"
Could you describe the color of water bottle_3?,"['water bottle', 'water bottle_4']"
How far is water bottle_3 from the player?,"['water bottle', 'water bottle_1']"
How far is water bottle_3 from the player?,"['water bottle', 'water bottle_2']"
How far is water bottle_3 from the player?,"['water bottle', 'water bottle_4']"
Which direction is water bottle_3 located relative to the player?,"['water bottle', 'water bottle_1']"
Which direction is water bottle_3 located relative to the player?,"['water bottle', 'water bottle_2']"
Which direction is water bottle_3 located relative to the player?,"['water bottle', 'water bottle_4']"
Can you provide the location of water bottle_4?,"['water bottle', 'water bottle_1']"
Can you provide the location of water bottle_4?,"['water bottle', 'water bottle_2']"
Can you provide the location of water bottle_4?,"['water bottle', 'water bottle_3']"
Can water bottle_4 be interacted with?,"['water bottle', 'water bottle_1']"
Can water bottle_4 be interacted with?,"['water bottle', 'water bottle_2']"
Can water bottle_4 be interacted with?,"['water bottle', 'water bottle_3']"
What kind of material is water bottle_4 made of?,"['water bottle', 'water bottle_1']"
What kind of material is water bottle_4 made of?,"['water bottle', 'water bottle_2']"
What kind of material is water bottle_4 made of?,"['water bottle', 'water bottle_3']"
Could you describe the color of water bottle_4?,"['water bottle', 'water bottle_1']"
Could you describe the color of water bottle_4?,"['water bottle', 'water bottle_2']"
Could you describe the color of water bottle_4?,"['water bottle', 'water bottle_3']"
How far is water bottle_4 from the player?,"['water bottle', 'water bottle_1']"
How far is water bottle_4 from the player?,"['water bottle', 'water bottle_2']"
How far is water bottle_4 from the player?,"['water bottle', 'water bottle_3']"
Which direction is water bottle_4 located relative to the player?,"['water bottle', 'water bottle_1']"
Which direction is water bottle_4 located relative to the player?,"['water bottle', 'water bottle_2']"
Which direction is water bottle_4 located relative to the player?,"['water bottle', 'water bottle_3']"
Can you provide the location of white chocolate_1?,"['white chocolate', 'white chocolate_2']"
Can white chocolate_1 be interacted with?,"['white chocolate', 'white chocolate_2']"
What kind of material is white chocolate_1 made of?,"['white chocolate', 'white chocolate_2']"
Could you describe the color of white chocolate_1?,"['white chocolate', 'white chocolate_2']"
How far is white chocolate_1 from the player?,"['white chocolate', 'white chocolate_2']"
Which direction is white chocolate_1 located relative to the player?,"['white chocolate', 'white chocolate_2']"
Can you provide the location of white chocolate_2?,"['white chocolate', 'white chocolate_1']"
Can white chocolate_2 be interacted with?,"['white chocolate', 'white chocolate_1']"
What kind of material is white chocolate_2 made of?,"['white chocolate', 'white chocolate_1']"
Could you describe the color of white chocolate_2?,"['white chocolate', 'white chocolate_1']"
How far is white chocolate_2 from the player?,"['white chocolate', 'white chocolate_1']"
Which direction is white chocolate_2 located relative to the player?,"['white chocolate', 'white chocolate_1']"
Can you provide the location of yellow chocolate_1?,"['yellow chocolate', 'yellow chocolate_2']"
Can yellow chocolate_1 be interacted with?,"['yellow chocolate', 'yellow chocolate_2']"
What kind of material is yellow chocolate_1 made of?,"['yellow chocolate', 'yellow chocolate_2']"
Could you describe the color of yellow chocolate_1?,"['yellow chocolate', 'yellow chocolate_2']"
How far is yellow chocolate_1 from the player?,"['yellow chocolate', 'yellow chocolate_2']"
Which direction is yellow chocolate_1 located relative to the player?,"['yellow chocolate', 'yellow chocolate_2']"
Can you provide the location of yellow chocolate_2?,"['yellow chocolate', 'yellow chocolate_1']"
Can yellow chocolate_2 be interacted with?,"['yellow chocolate', 'yellow chocolate_1']"
What kind of material is yellow chocolate_2 made of?,"['yellow chocolate', 'yellow chocolate_1']"
Could you describe the color of yellow chocolate_2?,"['yellow chocolate', 'yellow chocolate_1']"
How far is yellow chocolate_2 from the player?,"['yellow chocolate', 'yellow chocolate_1']"
Which direction is yellow chocolate_2 located relative to the player?,"['yellow chocolate', 'yellow chocolate_1']"
